m,n,k,n_tile,a_per_warp,split_n,split_k,stages,status,runtime_ms,tflops,err_max,message
37888,256,3584,256,2,2,1,2,ok,0.580096,119.850477,0.0,
37888,256,3584,256,2,2,1,4,ok,0.608939,114.173703,0.0,
