m,n,k,n_tile,a_per_warp,split_n,split_k,stages,status,runtime_ms,tflops,err_max,message
3584,128,3584,128,2,3,1,2,ok,0.104107,31.586203,0.0,
3584,128,3584,128,2,3,1,4,ok,0.086101,38.191445,0.0,
