family,dtype,m,n,k,muxi_runtime_ns,muxi_tflops,muxi_ref_runtime_ns,muxi_ref_tflops,muxi_speedup,muxi_err_max,local_family,local_runtime_ns,local_tflops,local_err_max,local_vs_muxi_ratio,mcblas_runtime_ns,mcblas_tflops,mcblas_err_max,local_vs_mcblas_ratio
gemm_layoutAB_ContinuousC,fp16,4608,16,3584,158561.39361858368,3.332982209220826,213837.25106716156,2.471423016161087,1.3486085495788644,0.125,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,4608,32,3584,95041.46873950958,11.12108874176742,117190.18220901489,9.019224887924892,1.2330426261636453,0.125,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,4608,48,3584,99491.32800102234,15.935528692347022,113608.31558704376,13.955377331382678,1.1418916388961695,0.125,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,4608,64,3584,114040.44926166534,18.53666159407701,237392.26162433624,8.904794122334149,2.081649652919559,0.125,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,4608,80,3584,118907.54103660583,22.222404878312386,129776.07548236847,20.36131475064525,1.0914032394498574,0.125,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,4608,96,3584,166745.8564043045,19.016327556060002,109629.70554828644,28.923673635184386,0.6574658460026139,0.125,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,4608,112,3584,112676.99301242828,32.83169020664191,124974.17628765106,29.60112431135537,1.1091365943166978,0.125,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,4608,128,3584,111060.21702289581,38.06816288796193,120710.5815410614,35.02475406898636,1.0868930817610063,0.125,tk_local_bf16_continuousc_reusea_n_params,88661.0,47.685482,0.0,1.2526341799141376,,,,
gemm_layoutAB_ContinuousC,fp16,4608,144,3584,144572.9285478592,32.89924873054964,124188.1400346756,38.29947638052992,0.8589999613486736,0.125,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,4608,160,3584,138413.16103935242,38.18150673184514,134112.31338977814,39.405949434638586,0.968927466020724,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,4608,176,3584,144589.69235420227,40.20553090160196,136582.1808576584,42.562692347535744,0.9446190709298431,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,4608,192,3584,148320.57058811188,42.75730347350959,121816.99275970459,52.05995899529197,0.8213088196511321,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,4608,208,3584,152179.97133731842,45.14569093176872,133492.05255508423,51.46576009957633,0.8771985655010343,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,4608,224,3584,154860.31770706177,47.77694095911447,122150.40624141693,60.57083626375482,0.7887779648785181,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,4608,240,3584,159751.62386894226,49.62224713598767,133935.3621006012,59.18701704816175,0.8383975001748944,0.0,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,4608,256,3584,160166.99373722076,52.79312963738921,132359.5643043518,63.88444166042021,0.8263847701450185,0.0,tk_local_bf16_continuousc_reusea_n_params,132608.0,63.764758,0.0,1.2078230337540068,94464.0,89.512589,3.303602,0.7123551973231385
gemm_layoutAB_ContinuousC,fp16,3584,16,3584,95000.4905462265,4.326733363550267,121628.86559963226,3.3794756694766273,1.2802972374174069,0.125,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,3584,32,3584,95074.99635219574,8.646685411952836,124163.9256477356,6.620953547589388,1.3059577219207334,0.25,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,3584,48,3584,94464.04874324799,13.053911963392743,418810.173869133,2.9443539172124282,4.433540372670808,0.125,unsupported_shape,,,,,,,,
gemm_layoutAB_ContinuousC,fp16,3584,64,3584,117972.4931716919,13.936868873383498,143514.946103096,11.45641769477368,1.2165119363395225,0.125,unsupported_shape,,,,,,,,
