m,n,k,n_tile,a_per_warp,split_n,split_k,stages,status,runtime_ms,tflops,err_max,message
4608,256,3584,256,1,2,1,2,ok,0.134997,62.636177,0.0,
4608,256,3584,256,1,2,1,4,ok,0.141568,59.729013,0.0,
