family,dtype,m,n,k,muxi_runtime_ns,muxi_tflops,muxi_ref_runtime_ns,muxi_ref_tflops,muxi_speedup,muxi_err_max,local_family,local_runtime_ns,local_tflops,local_err_max,local_vs_muxi_ratio
gemm_layoutAB_ContinuousC,fp16,4608,16,3584,153174.62384700775,3.4501948869014565,173768.0286169052,3.041309199433399,1.1344439715449626,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,4608,32,3584,96175.81963539124,10.989920460330064,116981.56595230103,9.035309105290786,1.2163303249796646,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,4608,48,3584,97328.7969827652,16.289597335521858,112021.34191989899,14.15307909035473,1.150957839741259,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,4608,64,3584,101886.68966293335,20.74784471841618,205777.5855064392,10.272883758439527,2.019670932358318,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,4608,80,3584,104812.90519237518,25.21074590147156,115675.85170269012,22.843242397657217,1.103641307245295,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,4608,96,3584,158971.1755514145,19.9463444426406,116022.30370044708,27.330036750406133,0.7298323315406517,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,4608,112,3584,111207.36598968506,33.265567393648475,110328.19747924805,33.53064957574265,0.9920943320380544,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,4608,128,3584,111585.48295497894,37.888964765298375,122629.10604476929,34.4767940366172,1.0989700702755938,0.125,tk_local_bf16_continuousc_128x128x128_stage4,148736.0,28.425253,0.0,0.7502251163651226
gemm_layoutAB_ContinuousC,fp16,4608,144,3584,132028.0134677887,36.025238970670564,136218.96505355835,34.91687617895137,1.0317428966451285,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,4608,160,3584,141939.14830684662,37.233019241282,137260.18369197845,38.5022291086213,0.9670354185530753,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,4608,176,3584,145804.13699150085,39.87064745864424,121502.20572948456,47.845265928281854,0.8333248166790158,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,4608,192,3584,145457.6849937439,43.59884902796823,132534.65294837952,47.85003398673434,0.9111560723249501,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,4608,208,3584,156620.51737308502,43.865708447599886,135244.80164051056,50.79877280800501,0.8635190580959743,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,4608,224,3584,155221.67086601257,47.665717130352284,132536.51559352875,55.824255095787755,0.8538531691746466,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,4608,240,3584,160990.28289318085,49.2404536319737,133402.64558792114,59.423368442685266,0.8286378729853872,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,4608,256,3584,160520.89631557465,52.67673591465972,137515.3660774231,61.48925102114997,0.8566820223024171,0.0,tk_local_bf16_continuousc_128x128x128_stage4,139776.0,60.494766,0.0,1.1484152339660163
gemm_layoutAB_ContinuousC,fp16,3584,16,3584,183079.39171791077,2.2451559847507814,126063.82369995117,3.2605848366009798,0.6885746261064197,0.25,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,32,3584,112840.90578556061,7.285333082687783,132944.43488121033,6.18366300728989,1.1781581684026345,0.25,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,48,3584,97440.55569171906,12.655155414972626,189287.58800029755,6.514560141143864,1.9425955307476153,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,64,3584,103222.20623493195,15.928424977256388,116331.50279521942,14.133464525892517,1.1270007398451738,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,80,3584,103997.06661701202,19.762182019697516,111456.960439682,18.439485088167576,1.0717317715329644,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,96,3584,104120.00119686127,23.686618552155238,111455.09779453278,22.12775190011073,1.0704484874505804,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,112,3584,109365.20993709564,26.30902958678498,104093.92416477203,27.641311124417648,0.9518010729796474,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,128,3584,140797.34683036804,23.355087365117534,123279.16920185089,26.673884625356717,0.8755787802619394,0.125,tk_local_bf16_continuousc_128x128x128_stage4,139520.0,23.568909,0.0,1.0091552487704167
gemm_layoutAB_ContinuousC,fp16,3584,144,3584,107824.80239868164,34.30913895229389,112978.7415266037,32.74400190702149,1.0477991984521835,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,160,3584,113816.93184375763,36.1142920777603,122550.87494850159,33.540502438087714,1.0767367645855495,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,176,3584,118892.63987541199,38.0297696874933,119669.3629026413,37.782934598544635,1.0065329782234058,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,192,3584,169403.85103225708,29.116820390705147,131715.0890827179,37.44826457128506,0.7775212209174474,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,208,3584,148896.12793922424,35.88772501982795,137811.52665615082,38.77428416661043,0.9255548049738548,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,224,3584,144213.43803405762,39.903251503101885,134428.9630651474,42.807628332379494,0.9321528208307501,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,240,3584,194543.9726114273,31.692716033484746,136140.73395729065,45.288626708404905,0.6997941500311169,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,256,3584,149885.19251346588,43.8780413309283,134913.25080394745,48.74738865759784,0.9001106015981309,0.0,tk_local_bf16_continuousc_128x128x128_stage4,141568.0,46.455897,0.0,1.058750472693836
gemm_layoutAB_ContinuousC,fp16,37888,16,3584,316269.6957588196,13.739220046278575,278640.5384540558,15.59464020601038,0.8810219322009941,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,37888,32,3584,266805.2911758423,32.57280936858304,307003.03614139557,28.30785648646613,1.1506632225635298,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,37888,48,3584,320510.93876361847,40.67223690488195,295573.8455057144,44.103688571281154,0.9221958122424785,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,37888,64,3584,312697.1423625946,55.584760527952845,325640.6635046005,53.37538496863567,1.0413931545527109,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,37888,80,3584,311421.2304353714,69.76561838647302,326914.7127866745,66.45921358142557,1.049750886699802,0.0,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,37888,96,3584,309880.8228969574,84.1349052202223,376824.289560318,69.18819828313298,1.2160297176105694,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,37888,112,3584,311588.8684988022,97.61931725785298,324612.48338222504,93.70278151682926,1.0417974330924242,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,37888,128,3584,362249.09126758575,95.96267427575617,409061.08915805817,84.98092943415615,1.1292259912279348,0.125,tk_local_bf16_continuousc_128x128x128_stage4,351232.0,98.972737,0.0,1.031367015841953
gemm_layoutAB_ContinuousC,fp16,37888,144,3584,525537.8782749176,74.4145990473062,521259.3823671341,75.02539391886786,0.991858824863723,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,37888,160,3584,473380.08880615234,91.79302312775107,487122.68471717834,89.20337895006604,1.0290307856962981,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,37888,176,3584,534625.7239580154,89.40514128301398,492667.7793264389,97.01931076018089,0.9215190314432541,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,37888,192,3584,528434.2914819717,98.67563132923397,495007.261633873,105.33903514039247,0.9367432613913944,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,37888,208,3584,680882.4837207794,82.96422308194569,600405.0374031067,94.08463079578371,0.8818042052163065,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,37888,224,3584,635191.798210144,95.77293879961888,617448.24051857,98.52515761468169,0.9720658268233748,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,37888,240,3584,681301.5788793564,95.66906371655695,614592.8055047989,106.05311936000373,0.9020862780264154,0.125,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,37888,256,3584,676618.8889741898,102.7532400246841,607879.8323869705,114.37257727566981,0.8984080141607732,0.125,tk_local_bf16_continuousc_128x128x128_stage4,654592.0,106.210869,0.0,1.0336498291877247
gemm_layoutAB_ContinuousC,fp16,3584,16,18944,166982.41233825684,13.011247361781171,194331.63106441498,11.180112368221895,1.1637850258789935,0.25,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,32,18944,181367.62082576752,23.958515440715583,196790.32266139984,22.080856849229225,1.0850355855439504,0.25,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,48,18944,178627.66981124878,36.489018878695255,204576.17938518524,31.860739777174707,1.1452659019812303,0.25,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,64,18944,191459.43224430084,45.391328001593884,217236.57846450806,40.00522356514588,1.1346350290400724,0.25,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,80,18944,215496.86789512634,50.41023317929013,222787.2610092163,48.76063070567849,1.0338306221584526,0.25,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,96,18944,236263.49866390228,55.175246729687494,225957.4830532074,57.69181288379978,0.9563791458732449,0.25,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,112,18944,264691.18893146515,57.457697649081375,225739.55357074738,67.37209347423291,0.8528412089652018,0.25,unsupported_shape,,,,
gemm_layoutAB_ContinuousC,fp16,3584,128,18944,255586.57944202423,68.00511910267436,244818.62783432007,70.99621433938698,0.9578696517195391,0.25,tk_local_bf16_continuousc_128x128x128_stage4,430848.0,40.341827,0.0,0.5932175038042617
