family,dtype,m,n,k,kernel_ns,kernel_tflops,ref_ns,ref_tflops,speedup,max_error,status
gemm_layoutAB_ContinuousC,fp16,4608,16,3584,170825.0492811203,3.0937049702253954,188075.0060081482,2.809955002617966,1.1009802531866406,0.125,ok
gemm_layoutAB_ContinuousC,fp16,4608,32,3584,96827.74543762207,10.91592707465148,114368.27480792999,9.241764027437378,1.1811518928901201,0.125,ok
gemm_layoutAB_ContinuousC,fp16,4608,48,3584,104887.41099834442,15.115702608247478,133423.13468456268,11.882848621030332,1.2720605210349665,0.125,ok
gemm_layoutAB_ContinuousC,fp16,4608,64,3584,109851.36032104492,19.24354154397323,175746.1577653885,12.028309710315147,1.5998541779706998,0.125,ok
gemm_layoutAB_ContinuousC,fp16,4608,80,3584,108925.62568187714,24.258860148458528,170378.01444530487,15.509110894400479,1.5641683339318389,0.125,ok
gemm_layoutAB_ContinuousC,fp16,4608,96,3584,146891.92175865173,21.586577301438556,139504.67109680176,22.729660584624646,0.9497096193350409,0.125,ok
gemm_layoutAB_ContinuousC,fp16,4608,112,3584,149773.43380451202,24.69981514097164,145575.03163814545,25.412160906792767,0.9719683120048751,0.125,ok
gemm_layoutAB_ContinuousC,fp16,4608,128,3584,116160.13944149017,36.396809200884015,142470.00217437744,29.675428984869914,1.2264964802847842,0.125,ok
gemm_layoutAB_ContinuousC,fp16,4608,144,3584,137627.12478637695,34.55961710587743,162959.09881591797,29.18732841897256,1.184062364660026,0.125,ok
gemm_layoutAB_ContinuousC,fp16,4608,160,3584,135643.40770244598,38.961149159515706,150231.64451122284,35.17782859392986,1.1075484393666837,0.0,ok
gemm_layoutAB_ContinuousC,fp16,4608,176,3584,157188.62414360046,36.98299018565889,154543.6680316925,37.61593999961135,0.9831733617727219,0.0,ok
gemm_layoutAB_ContinuousC,fp16,4608,192,3584,153208.1514596939,41.39327827911559,158205.62839508057,40.08572711561759,1.0326188710442172,0.0,ok
gemm_layoutAB_ContinuousC,fp16,4608,208,3584,162389.1294002533,42.307449872868666,158207.4910402298,43.42569309978497,0.9742492716386411,0.0,ok
gemm_layoutAB_ContinuousC,fp16,4608,224,3584,163163.98978233337,45.34549728693323,160329.04386520386,46.14729856569517,0.9826251740907327,0.0,ok
gemm_layoutAB_ContinuousC,fp16,4608,240,3584,165143.98157596588,48.00195855974012,154620.03648281097,51.269128764442286,0.9362741227822831,0.0,ok
gemm_layoutAB_ContinuousC,fp16,4608,256,3584,162320.21152973175,52.092815702443744,157115.98098278046,53.818311868139794,0.9679384933157381,0.0,ok
gemm_layoutAB_ContinuousC,fp16,3584,16,3584,109825.28328895569,3.7426882015731198,127507.37369060516,3.223670758033077,1.1610020012889657,0.125,ok
gemm_layoutAB_ContinuousC,fp16,3584,32,3584,110561.02812290192,7.435563850637812,122418.62714290619,6.715347191733619,1.107249355594117,0.1875,ok
gemm_layoutAB_ContinuousC,fp16,3584,48,3584,100195.40786743164,12.30720451411851,98560.00542640686,12.511417492978474,0.9836778703152885,0.125,ok
gemm_layoutAB_ContinuousC,fp16,3584,64,3584,136686.48898601532,12.028746807361612,127121.80614471436,12.933793326758545,0.9300246651131734,0.125,ok
gemm_layoutAB_ContinuousC,fp16,3584,80,3584,106588.00601959229,19.28180324174772,166364.01414871216,12.35368700687191,1.560813644624633,0.125,ok
gemm_layoutAB_ContinuousC,fp16,3584,96,3584,106420.3679561615,23.174612147704096,151218.84644031525,16.30914935575446,1.4209577484510099,0.125,ok
gemm_layoutAB_ContinuousC,fp16,3584,112,3584,146523.118019104,19.637123362504834,126577.91376113892,22.7313949053517,0.8638767415844605,0.125,ok
gemm_layoutAB_ContinuousC,fp16,3584,128,3584,140415.5045747757,23.418598579680765,131644.30856704712,24.97893279089414,0.9375339921735093,0.125,ok
gemm_layoutAB_ContinuousC,fp16,3584,144,3584,136813.14885616302,27.039624180343207,105164.94512557983,35.1768940076229,0.7686757157833113,0.125,ok
gemm_layoutAB_ContinuousC,fp16,3584,160,3584,113064.42320346832,36.35465342270379,174663.9609336853,23.53329157330059,1.5448180425363667,0.125,ok
gemm_layoutAB_ContinuousC,fp16,3584,176,3584,113779.67894077301,39.73872798809359,174982.4732542038,25.839500539185437,1.5379061962838667,0.125,ok
gemm_layoutAB_ContinuousC,fp16,3584,192,3584,114424.15416240692,43.10717033572384,205615.53537845612,23.988953436428012,1.7969591899855122,0.125,ok
gemm_layoutAB_ContinuousC,fp16,3584,208,3584,129897.14741706848,41.1367254959277,172710.04617214203,30.93938896104533,1.3295907539648397,0.0,ok
gemm_layoutAB_ContinuousC,fp16,3584,224,3584,131521.37398719788,43.753991564596525,141315.16218185425,40.72163948405336,1.0744653731766038,0.0,ok
gemm_layoutAB_ContinuousC,fp16,3584,240,3584,137511.64078712463,44.83712684037216,150285.66122055054,41.02604885872434,1.092894102348766,0.0,ok
gemm_layoutAB_ContinuousC,fp16,3584,256,3584,136129.55808639526,48.31183443514954,147944.31626796722,44.45367580115664,1.0867905423895792,0.0,ok
gemm_layoutAB_ContinuousC,fp16,37888,16,3584,255983.32285881042,16.97492983320903,281972.81062602997,15.410347310978889,1.1015280506439642,0.125,ok
gemm_layoutAB_ContinuousC,fp16,37888,32,3584,258585.43813228607,33.6082261660616,278927.38580703735,31.157205531665422,1.078666253682641,0.125,ok
gemm_layoutAB_ContinuousC,fp16,37888,48,3584,254675.7459640503,51.18625168900116,291777.7746915817,44.67748390287558,1.1456834006202095,0.125,ok
gemm_layoutAB_ContinuousC,fp16,37888,64,3584,309286.6390943527,56.197693592245976,419819.7275400162,41.40156985439249,1.3573807415972585,0.125,ok
gemm_layoutAB_ContinuousC,fp16,37888,80,3584,308303.1624555588,70.47120291259363,328553.84051799774,66.12765410304145,1.06568430210429,0.0,ok
