dtype,m,n,k,mcblas_runtime_ns,mcblas_tflops,mcblas_err_max,status
fp16,3584,288,18944,313429.0,124.773549,2.923311,ok
fp16,3584,320,3584,79957.0,102.815286,3.303602,ok
fp16,3584,320,18944,313429.0,138.637276,2.923311,ok
fp16,3584,352,3584,80469.0,112.377211,3.303602,ok
fp16,3584,352,18944,315904.0,151.306372,2.923311,ok
fp16,3584,384,3584,81493.0,121.052884,3.303602,ok
fp16,3584,384,18944,314795.0,165.643176,2.923311,ok
fp16,3584,416,3584,132864.0,80.436286,3.303602,ok
fp16,3584,416,18944,427776.0,132.052485,2.923311,ok
fp16,3584,448,3584,132181.0,87.071068,3.303602,ok
fp16,3584,448,18944,426667.0,142.580125,2.923311,ok
fp16,3584,480,3584,138325.0,89.146749,3.303602,ok
fp16,3584,480,18944,430848.0,151.281853,2.923311,ok
fp16,4608,16,3584,64427.0,8.20285,3.303602,ok
fp16,4608,32,3584,66901.0,15.798858,3.303602,ok
fp16,4608,48,3584,70997.0,22.331077,3.303602,ok
fp16,4608,64,3584,72704.0,29.07583,3.303602,ok
fp16,4608,80,3584,63915.0,41.342804,3.303602,ok
fp16,4608,96,3584,65195.0,48.63732,3.303602,ok
fp16,4608,112,3584,70315.0,52.611729,3.303602,ok
fp16,4608,128,3584,68523.0,61.700144,3.303602,ok
fp16,4608,144,3584,79957.0,59.485987,3.303602,ok
fp16,4608,160,3584,79957.0,66.095541,3.303602,ok
fp16,4608,176,3584,79189.0,73.410205,3.303602,ok
fp16,4608,192,3584,79360.0,79.91164,3.303602,ok
fp16,4608,208,3584,79360.0,86.570944,3.303602,ok
fp16,4608,224,3584,77739.0,95.174673,3.303602,ok
fp16,4608,240,3584,82261.0,96.366472,3.303602,ok
fp16,4608,256,3584,82261.0,102.790904,3.303602,ok
fp16,4608,288,3584,128853.0,73.825654,3.303602,ok
fp16,4608,320,3584,131755.0,80.222176,3.303602,ok
fp16,4608,352,3584,134144.0,86.672612,3.303602,ok
fp16,4608,384,3584,135765.0,93.422783,3.303602,ok
fp16,4608,416,3584,140971.0,97.470915,3.303602,ok
fp16,4608,448,3584,144043.0,102.730007,3.303602,ok
fp16,4608,480,3584,144043.0,110.067864,3.303602,ok
fp16,7168,16,256,26368.0,2.226951,7.437012,ok
fp16,7168,32,256,28331.0,4.145349,7.437012,ok
fp16,7168,48,256,26283.0,6.702546,7.437012,ok
fp16,7168,64,256,25856.0,9.084198,7.437012,ok
fp16,7168,80,256,27392.0,10.718505,7.437012,ok
fp16,7168,96,256,27904.0,12.626202,7.437012,ok
fp16,7168,112,256,29696.0,13.841655,7.437012,ok
fp16,7168,128,256,30208.0,15.550916,7.437012,ok
fp16,37888,16,3584,449109.0,9.67537,23.670898,ok
fp16,37888,32,3584,447659.0,19.413448,23.670898,ok
fp16,37888,48,3584,448000.0,29.097984,23.670898,ok
fp16,37888,64,3584,448341.0,38.767775,23.670898,ok
fp16,37888,80,3584,448341.0,48.459719,23.670898,ok
fp16,37888,96,3584,449109.0,58.052222,23.670898,ok
fp16,37888,112,3584,450219.0,67.560708,23.670898,ok
fp16,37888,128,3584,446805.0,77.802099,23.670898,ok
fp16,37888,144,3584,452267.0,86.470427,23.670898,ok
fp16,37888,160,3584,451243.0,96.296274,23.670898,ok
fp16,37888,176,3584,450048.0,106.207088,23.670898,ok
fp16,37888,192,3584,460629.0,113.20075,23.670898,ok
fp16,37888,208,3584,459861.0,122.83896,23.670898,ok
fp16,37888,224,3584,451072.0,134.865793,23.670898,ok
fp16,37888,240,3584,468480.0,139.129708,23.670898,ok
fp16,37888,256,3584,467200.0,148.811607,23.670898,ok
fp16,37888,288,3584,663893.0,117.813173,23.670898,ok
fp16,37888,320,3584,665259.0,130.634865,23.670898,ok
fp16,37888,352,3584,663467.0,144.086483,23.670898,ok
fp16,37888,384,3584,666965.0,156.360714,23.670898,ok
fp16,37888,416,3584,666539.0,169.4992,23.670898,ok
fp16,37888,448,3584,668501.0,182.001697,23.670898,ok
fp16,37888,480,3584,669952.0,194.579566,23.670898,ok
fp16,37888,16384,3584,20036523.0,222.073764,23.670898,ok
fp16,37888,32768,3584,48834305.0,182.231984,830.393677,ok
fp16,37888,49152,3584,68314026.0,195.402894,14320.157227,ok
fp16,37888,65536,3584,,,,failed
fp16,37888,81920,3584,,,,failed
